Aaron Hickey
Aaron Wan-Bissaka
Adam Armstrong
Adam Forshaw
Adam Lallana
Adam Smith
Adam Webster
Ainsley Maitland-Niles
Albert Sambi Lokonga
Alejandro Garnacho
Alex Iwobi
Alex Oxlade-Chamberlain
Alexander Isak
Alexis Mac Allister
Allan Saint-Maximin
Amadou Onana
Andreas Pereira
Andrew Robertson
Angelo Ogbonna
Anthony Elanga
Anthony Gordon
Anthony Martial
Antoine Semenyo
Antonee Robinson
Antony
Armando Broja
Arnaut Danjuma
Ashley Young
Aymeric Laporte
Ben Chilwell
Ben Davies
Ben Godfrey
Ben Johnson
Ben Mee
Ben White
Bernardo Silva
Billy Gilmour
Boubacar Kamara
Brenden Aaronson
Brennan Johnson
Bruno Fernandes
Bryan Mbeumo
Bukayo Saka
Callum Wilson
Calum Chambers
Carlos Alcaraz
Carney Chukwuemeka
Casemiro
Chris Mepham
Chris Richards
Chris Wood
Christian Eriksen
Christian Pulisic
Cody Gakpo
Cole Palmer
Conor Coady
Conor Gallagher
Craig Dawson
Cristian Romero
Crysencio Summerville
Curtis Jones
Dan Burn
Dango Ouattara
Daniel Amartey
Daniel James
Daniel Podence
Danilo
Danny Ings
Danny Welbeck
David Brooks
Declan Rice
Dejan Kulusevski
Demarai Gray
Denis Zakaria
Deniz Undav
Dennis Praet
Diego Carlos
Diego Costa
Diogo Dalot
Diogo Jota
Dominic Calvert-Lewin
Dominic Solanke
Donny van de Beek
Douglas Luiz
Dwight McNeil
Eberechi Eze
Eddie Nketiah
Elliot Anderson
Ellis Simms
Emerson
Emil Krafth
Emile Smith Rowe
Emmanuel Dennis
Eric Dier
Erling Haaland
Ethan Pinnock
Evan Ferguson
Ezri Konsa
Fabinho
Facundo Buonanotte
Facundo Pellistri
Felipe
Flynn Downes
Frank Onyeka
Fred
Gabriel Jesus
Georginio Rutter
Gianluca Scamacca
Giulian Biancone
Granit Xhaka
Gustavo Scarpa
Hakim Ziyech
Harrison Reed
Harry Kane
Harry Maguire
Harry Souttar
Harry Toffolo
Harry Wilson
Harvey Barnes
Harvey Elliott
Hugo Bueno
Ibrahima Diallo
Issa Diop
Ivan Toney
Jack Colback
Jack Grealish
Jack Harrison
Jack Stacey
Jack Stephens
Jacob Murphy
Jacob Ramsey
Jadon Sancho
Jaidon Anthony
Jakub Kiwior
Jamaal Lascelles
Jamal Lewis
James Bree
James Garner
James Justin
James Maddison
James McArthur
James Milner
James Tarkowski
James Tomkins
James Ward-Prowse
Jamie Vardy
Jan Bednarek
Jan Paul van Hecke
Japhet Tanganga
Jarrod Bowen
Javier Manquillo
Jean-Philippe Mateta
Jefferson Lerma
Jeffrey Schlupp
Jeremy Sarmiento
Jesse Lingard
Joachim Andersen
Joe Aribo
Joe Gomez
Joe Rothwell
Joe Willock
Joe Worrall
Joel Ward
Joelinton
John McGinn
John Stones
Jonjo Shelvey
Jonny Evans
Jordan Ayew
Jordan Henderson
Jordan Zemura
Jorginho
Josh Dasilva
Juan Larios
Junior Firpo
Junior Stanislas
Kai Havertz
Kalidou Koulibaly
Kalvin Phillips
Kamaldeen Sulemana
Kaoru Mitoma
Keane Lewis-Potter
Kelechi Iheanacho
Kenny Tete
Kevin De Bruyne
Kevin Schade
Kieffer Moore
Kieran Tierney
Kieran Trippier
Kiernan Dewsbury-Hall
Kobbie Mainoo
Kristoffer Ajer
Kurt Zouma
Kyle Walker
Kyle Walker-Peters
Layvin Kurzawa
Leander Dendoncker
Leandro Trossard
Leon Bailey
Levi Colwill
Lewis Cook
Lewis Dunk
Lewis Hall
Liam Cooper
Lloyd Kelly
Lucas Digne
Lucas Moura
Ludwig Augustinsson
Luis Sinisterra
Luke Ayling
Luke Shaw
Luke Thomas
Lyanco
Mads Roerslev
Manor Solomon
Manuel Akanji
Manuel Lanzini
Marc Cucurella
Marc Roca
Marcel Sabitzer
Marcos Senesi
Marcus Rashford
Marcus Tavernier
Mario Lemina
Martin Ødegaard
Mason Holgate
Mason Mount
Matheus Cunha
Matheus Nunes
Mathias Jensen
Matt Doherty
Matt Ritchie
Matt Targett
Matty Cash
Max Kilman
Maxwel Cornet
Michael Keane
Michael Olise
Michail Antonio
Mikkel Damsgaard
Mohamed Elneny
Mohamed Elyounoussi
Mohamed Salah
Mohammed Salisu
Morgan Gibbs-White
Moussa Djenepo
Nampalys Mendy
Naouirou Ahamada
Nathan Collins
Nathan Patterson
Nathaniel Clyne
Nathaniel Phillips
Nayef Aguerd
Neal Maupay
Neco Williams
Neeskens Kebano
Noni Madueke
Oleksandr Zinchenko
Oliver Skipp
Ollie Watkins
Orel Mangala
Oriol Romeu
