Almería
Athletic Club
Atlético Madrid
Barcelona
Betis
Celta Vigo
Cádiz
Elche
Espanyol
Getafe
Girona
Mallorca
Osasuna
Rayo Vallecano
Real Madrid
Real Sociedad
Sevilla
Valencia
Valladolid
Villarreal
