Jugador,Mín,Goles_Anotados_S,Tiros_Penales_Intentados_S,xG,npxG,ACG,Regates_intentados_S,Distancia_de_paso_progresiva_P,Cruce_en_el_área_de_penalización_P,Pases_progresivos_P,Pases_Largos_PT,Saques_de_esquina_hacia_adentro_PT,Pases_intentados_Cortos_P,Pases_intentados_Medios_P,Pases_intentados_Largos_P,Intercepciones_D,Barridas_en_la_defensa_D,Robos_intentados_PO,Distancia_de_traslado_progresivo_PO,Robos_intentados_PO,Penal_ejecutado_M,Posicion_adelantada_M
Ander Barrenetxea,756,3,0,2.4,2.4,1.0,53.0,1014.0,1.0,23.0,1.0,0.0,154.0,103.0,27.0,5,15.0,53.0,732.0,53.0,0.0,0
Ander Capa,109,0,0,0.0,0.0,0.0,3.0,441.0,1.0,12.0,0.0,0.0,35.0,37.0,12.0,0,1.0,3.0,193.0,3.0,0.0,0
Ander Guevara,192,0,0,0.0,0.0,0.0,3.0,519.0,0.0,13.0,1.0,0.0,78.0,65.0,7.0,2,2.0,3.0,274.0,3.0,0.0,0
Ander Herrera,634,0,0,0.4,0.4,1.0,9.0,1207.0,0.0,36.0,6.0,0.0,214.0,141.0,32.0,10,7.0,9.0,427.0,9.0,0.0,0
Andoni Gorosabel,1505,0,0,0.5,0.5,1.0,17.0,4347.0,11.0,64.0,0.0,0.0,471.0,315.0,74.0,14,22.0,17.0,1208.0,17.0,0.0,0
Andreas Christensen,1535,1,0,0.7,0.7,2.0,2.0,7663.0,0.0,85.0,3.0,0.0,517.0,684.0,130.0,18,6.0,2.0,2981.0,2.0,0.0,0
Andreas Pereira,2692,4,1,7.4,6.6,12.0,49.0,4235.0,9.0,121.0,1.0,51.0,419.0,315.0,251.0,6,3.0,49.0,1662.0,49.0,0.0,2
Andrew Robertson,2583,0,0,1.3,1.3,13.0,42.0,9527.0,14.0,166.0,2.0,23.0,943.0,938.0,286.0,18,12.0,42.0,3934.0,42.0,0.0,7
Angelo Ogbonna,1147,0,0,0.2,0.2,0.0,0.0,1798.0,0.0,10.0,0.0,0.0,111.0,191.0,55.0,17,7.0,0.0,382.0,0.0,0.0,0
Ansu Fati,1272,4,0,7.0,7.0,7.0,40.0,904.0,1.0,42.0,1.0,1.0,354.0,122.0,22.0,5,8.0,40.0,1312.0,40.0,0.0,10
