Jugador,Mín,Goles_Anotados_S,Tiros_Penales_Intentados_S,xG,npxG,ACG,Regates_intentados_S,Distancia_de_paso_progresiva_P,Cruce_en_el_área_de_penalización_P,Pases_progresivos_P,Pases_Largos_PT,Saques_de_esquina_hacia_adentro_PT,Pases_intentados_Cortos_P,Pases_intentados_Medios_P,Pases_intentados_Largos_P,Intercepciones_D,Barridas_en_la_defensa_D,Robos_intentados_PO,Distancia_de_traslado_progresivo_PO,Robos_intentados_PO,Penal_ejecutado_M,Posicion_adelantada_M
Eduardo Camavinga,1826,0,0,0.7000000000000001,0.7000000000000001,5.0,63.0,5128.0,1.0,150.0,4.0,0.0,675.0,497.0,103.0,16,30.0,63.0,3314.0,63.0,0.0,3
Elliot Anderson,259,0,0,1.0,1.0,0.0,23.0,385.0,0.0,15.0,1.0,0.0,63.0,37.0,7.0,5,5.0,23.0,392.0,23.0,0.0,1
Ellis Simms,224,1,0,0.9,0.9,2.0,2.0,105.0,0.0,4.0,1.0,0.0,30.0,17.0,3.0,0,0.0,2.0,55.0,2.0,0.0,1
Emerson,1645,2,0,1.6,1.6,2.0,28.0,3639.0,3.0,77.0,2.0,0.0,455.0,362.0,90.0,16,35.0,28.0,1973.0,28.0,0.0,0
Emil Krafth,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
Emile Smith Rowe,156,0,0,0.2,0.2,1.0,5.0,231.0,0.0,6.0,0.0,2.0,45.0,28.0,5.0,0,1.0,5.0,114.0,5.0,0.0,1
Emmanuel Dennis,701,2,0,1.8,1.8,3.0,52.0,372.0,2.0,16.0,0.0,0.0,90.0,55.0,11.0,2,5.0,52.0,802.0,52.0,0.0,4
Enzo Roco,1520,0,0,0.6000000000000001,0.6000000000000001,0.0,5.0,4287.0,0.0,34.0,1.0,0.0,197.0,306.0,103.0,15,21.0,5.0,998.0,5.0,0.0,0
Eric Dier,2818,2,0,1.6,1.6,2.0,6.0,12717.0,3.0,87.0,2.0,0.0,688.0,934.0,317.0,35,16.0,6.0,2851.0,6.0,0.0,1
Erik Lamela,1627,4,0,4.2,4.2,5.0,66.0,1331.0,1.0,60.0,1.0,4.0,370.0,197.0,34.0,6,12.0,66.0,1637.0,66.0,0.0,7
Erling Haaland,2662,36,7,27.3,21.9,16.0,30.0,927.0,0.0,57.0,4.0,0.0,261.0,130.0,9.0,3,0.0,30.0,703.0,30.0,1.0,8
Esteban Saveljich,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
Ethan Pinnock,2610,2,0,2.5,2.5,5.0,6.0,5460.0,2.0,49.0,0.0,0.0,379.0,539.0,154.0,35,32.0,6.0,1420.0,6.0,0.0,0
Evan Ferguson,757,4,0,4.2,4.2,2.0,13.0,278.0,0.0,11.0,1.0,0.0,131.0,45.0,7.0,2,1.0,13.0,260.0,13.0,0.0,4
Ezequiel Ponce,1097,4,0,2.9,2.9,4.0,15.0,430.0,0.0,19.0,1.0,0.0,175.0,49.0,18.0,1,0.0,15.0,305.0,15.0,1.0,7
Ezri Konsa,3232,0,0,1.1,1.1,2.0,15.0,10254.0,2.0,56.0,1.0,0.0,650.0,979.0,195.0,24,24.0,15.0,3552.0,15.0,0.0,0
Fabinho,2615,0,0,0.8,0.8,7.0,14.0,5974.0,0.0,153.0,5.0,0.0,860.0,658.0,179.0,36,18.0,14.0,1786.0,14.0,0.0,0
Fabrizio Angileri,579,0,0,0.2,0.2,2.0,10.0,936.0,0.0,16.0,0.0,0.0,87.0,109.0,42.0,6,7.0,10.0,220.0,10.0,0.0,0
Facundo Buonanotte,356,1,0,0.8999999999999999,0.8999999999999999,1.0,9.0,282.0,1.0,5.0,0.0,2.0,84.0,30.0,12.0,3,0.0,9.0,237.0,9.0,0.0,2
Facundo Pellistri,57,0,0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0,0.0,1.0,10.0,1.0,0.0,0
Fali,1682,0,0,0.6000000000000001,0.6000000000000001,1.0,5.0,4267.0,0.0,55.0,2.0,0.0,131.0,280.0,164.0,13,19.0,5.0,1337.0,5.0,0.0,1
Fede San Emeterio,1691,0,0,0.2,0.2,1.0,5.0,2185.0,1.0,42.0,1.0,0.0,299.0,219.0,68.0,14,22.0,5.0,579.0,5.0,0.0,0
Federico Valverde,2387,7,0,4.2,4.2,13.0,42.0,4087.0,6.0,145.0,2.0,0.0,875.0,466.0,131.0,17,14.0,42.0,3280.0,42.0,0.0,5
Felipe,1612,0,0,1.1,1.1,1.0,20.0,4097.0,0.0,42.0,0.0,0.0,232.0,312.0,124.0,36,30.0,20.0,1514.0,20.0,0.0,4
Ferland Mendy,1286,0,0,0.3,0.3,2.0,29.0,2637.0,0.0,56.0,0.0,0.0,504.0,239.0,37.0,14,13.0,29.0,1370.0,29.0,0.0,0
Fernando,17721,0,0,0.1,0.1,1.0,36.0,79919.0,0.0,470.0,0.0,0.0,3100.0,4029.0,2652.0,143,88.0,20.0,15000.0,20.0,0.0,0
Fernando Calero,1520,0,0,0.7000000000000001,0.7000000000000001,3.0,3.0,4166.0,0.0,58.0,0.0,0.0,247.0,308.0,137.0,12,26.0,3.0,813.0,3.0,0.0,1
Ferran Torres,1295,4,1,5.0,4.2,3.0,67.0,1429.0,11.0,41.0,1.0,10.0,265.0,179.0,62.0,3,4.0,67.0,1176.0,67.0,0.0,8
Fidel,1483,3,1,2.1,1.3,4.0,65.0,2803.0,1.0,113.0,5.0,14.0,353.0,183.0,113.0,3,7.0,65.0,1746.0,65.0,0.0,8
Florian Lejeune,2475,4,0,2.6,2.6,1.0,6.0,9995.0,1.0,76.0,1.0,4.0,272.0,684.0,391.0,15,17.0,6.0,2465.0,6.0,0.0,5
Flynn Downes,677,0,0,0.4,0.4,0.0,1.0,669.0,0.0,16.0,0.0,0.0,160.0,70.0,11.0,6,4.0,1.0,281.0,1.0,0.0,0
Francis Coquelin,748,1,0,1.2000000000000002,1.2000000000000002,0.0,6.0,803.0,1.0,29.0,1.0,0.0,167.0,88.0,20.0,9,7.0,6.0,399.0,6.0,0.0,0
Francisco Portillo,626,2,0,0.6,0.6,2.0,15.0,1755.0,3.0,70.0,5.0,1.0,222.0,130.0,40.0,7,4.0,15.0,800.0,15.0,0.0,2
Franco Cervi,1854,0,0,2.2,2.2,5.0,51.0,2945.0,9.0,68.0,1.0,9.0,401.0,269.0,108.0,34,28.0,51.0,1494.0,51.0,0.0,2
Frank Onyeka,768,0,0,1.0,1.0,7.0,20.0,678.0,0.0,26.0,0.0,0.0,114.0,85.0,16.0,8,10.0,20.0,331.0,20.0,0.0,2
Fred,1163,2,0,1.8,1.8,3.0,27.0,2489.0,2.0,70.0,6.0,0.0,355.0,219.0,71.0,17,22.0,27.0,958.0,27.0,0.0,1
Frenkie de Jong,2264,2,0,2.6,2.6,9.0,58.0,9032.0,6.0,229.0,16.0,2.0,1019.0,735.0,156.0,34,13.0,58.0,5558.0,58.0,0.0,1
Gabriel Jesus,1974,10,1,13.7,12.9,11.0,106.0,1556.0,1.0,61.0,4.0,0.0,330.0,218.0,43.0,10,16.0,106.0,1437.0,106.0,2.0,16
Gabriel Paulista,1234,1,0,0.5,0.5,0.0,0.0,4305.0,0.0,53.0,0.0,0.0,209.0,302.0,107.0,29,12.0,0.0,1482.0,0.0,0.0,0
Gavi,2321,1,0,2.6,2.6,6.0,61.0,2720.0,4.0,128.0,8.0,0.0,641.0,310.0,78.0,18,7.0,61.0,2254.0,61.0,0.0,9
Geoffrey Kondogbia,1003,0,0,0.6000000000000001,0.6000000000000001,2.0,10.0,2631.0,0.0,41.0,0.0,0.0,333.0,203.0,58.0,26,19.0,10.0,637.0,10.0,0.0,2
Georginio Rutter,242,0,0,0.2,0.2,0.0,24.0,86.0,0.0,5.0,1.0,0.0,25.0,14.0,2.0,3,5.0,24.0,124.0,24.0,0.0,1
Gerard Gumbau,2467,1,0,1.8,1.8,6.0,19.0,6105.0,9.0,123.0,3.0,38.0,468.0,406.0,297.0,27,17.0,19.0,1530.0,19.0,0.0,2
Gerard Moreno,1132,7,2,8.0,6.4,4.0,48.0,1291.0,1.0,58.0,3.0,0.0,186.0,148.0,41.0,4,0.0,48.0,692.0,48.0,0.0,12
Gianluca Scamacca,926,3,0,2.5,2.5,1.0,14.0,378.0,1.0,17.0,0.0,0.0,85.0,52.0,21.0,4,1.0,14.0,282.0,14.0,0.0,6
Giovani Lo Celso,1003,1,0,1.9,1.9,3.0,40.0,2397.0,1.0,89.0,11.0,13.0,279.0,183.0,72.0,6,6.0,40.0,1351.0,40.0,0.0,4
Giulian Biancone,17,0,0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,1,2.0,0.0,61.0,0.0,0.0,0
Gonzalo Escalante,870,3,0,2.0,2.0,1.0,6.0,1182.0,2.0,42.0,1.0,0.0,163.0,121.0,44.0,15,13.0,6.0,390.0,6.0,0.0,0
Gonzalo Melero,1715,4,1,2.4,1.6,6.0,34.0,2502.0,0.0,93.0,0.0,0.0,345.0,261.0,60.0,6,8.0,34.0,1273.0,34.0,0.0,3
Gonzalo Montiel,1406,0,0,0.7999999999999999,0.7999999999999999,5.0,21.0,3658.0,7.0,52.0,3.0,0.0,378.0,300.0,77.0,17,9.0,21.0,1498.0,21.0,0.0,11
Gonzalo Plata,2032,0,0,2.8000000000000003,2.8000000000000003,10.0,146.0,1484.0,2.0,46.0,3.0,15.0,411.0,176.0,37.0,11,28.0,146.0,2134.0,146.0,2.0,3
Gonzalo Villar,443,0,0,0.1,0.1,0.0,20.0,915.0,1.0,27.0,0.0,2.0,107.0,107.0,21.0,6,1.0,20.0,605.0,20.0,0.0,0
Gorka Guruzeta,1239,6,0,5.4,5.4,2.0,17.0,545.0,1.0,28.0,0.0,0.0,161.0,90.0,24.0,4,6.0,17.0,330.0,17.0,0.0,15
Granit Xhaka,2919,5,0,3.7,3.7,17.0,28.0,5878.0,4.0,194.0,6.0,0.0,750.0,625.0,138.0,15,11.0,28.0,2143.0,28.0,0.0,4
Gustavo Scarpa,181,0,0,0.30000000000000004,0.30000000000000004,0.0,4.0,454.0,0.0,12.0,1.0,0.0,19.0,31.0,18.0,0,3.0,4.0,313.0,4.0,0.0,0
Hakim Ziyech,652,0,0,0.6000000000000001,0.6000000000000001,2.0,32.0,1521.0,7.0,41.0,4.0,12.0,167.0,131.0,64.0,5,12.0,32.0,628.0,32.0,0.0,3
Haris Seferovic,796,3,0,1.6,1.6,2.0,14.0,305.0,0.0,14.0,3.0,0.0,96.0,57.0,17.0,1,1.0,14.0,259.0,14.0,0.0,10
Harrison Reed,2841,3,0,1.8,1.8,7.0,28.0,3627.0,11.0,101.0,0.0,2.0,599.0,411.0,132.0,19,17.0,28.0,1127.0,28.0,0.0,4
Harry Kane,3315,28,6,20.6,15.8,17.0,100.0,4177.0,6.0,174.0,19.0,0.0,356.0,284.0,157.0,2,1.0,100.0,1765.0,100.0,2.0,15
Harry Maguire,677,0,0,0.30000000000000004,0.30000000000000004,1.0,3.0,2723.0,0.0,25.0,0.0,0.0,148.0,270.0,88.0,10,6.0,3.0,1353.0,3.0,0.0,0
Harry Souttar,902,0,0,1.4,1.4,2.0,4.0,3195.0,0.0,28.0,1.0,0.0,159.0,293.0,71.0,11,9.0,4.0,920.0,4.0,0.0,1
Harry Toffolo,895,0,0,0.1,0.1,0.0,8.0,1816.0,4.0,28.0,0.0,2.0,161.0,143.0,46.0,9,10.0,8.0,329.0,8.0,0.0,0
Harry Wilson,1035,2,0,1.9,1.9,9.0,32.0,1026.0,1.0,36.0,1.0,2.0,186.0,120.0,42.0,6,7.0,32.0,735.0,32.0,2.0,2
Harvey Barnes,2593,12,0,8.5,8.5,12.0,88.0,1897.0,4.0,76.0,5.0,0.0,434.0,203.0,36.0,8,8.0,88.0,2640.0,88.0,0.0,8
Harvey Elliott,1579,1,0,1.8,1.8,9.0,42.0,3057.0,6.0,132.0,8.0,0.0,485.0,349.0,80.0,14,6.0,42.0,1861.0,42.0,0.0,2
Helibelton Palacios,1915,0,0,0.4,0.4,0.0,28.0,5114.0,4.0,51.0,0.0,0.0,344.0,320.0,126.0,20,21.0,28.0,1514.0,28.0,0.0,0
Houboulang Mendes,886,0,0,0.0,0.0,1.0,21.0,1451.0,3.0,18.0,0.0,0.0,152.0,117.0,47.0,7,16.0,21.0,704.0,21.0,0.0,0
Hugo Bueno,1265,0,0,0.2,0.2,1.0,32.0,2167.0,6.0,38.0,0.0,2.0,365.0,201.0,51.0,10,23.0,32.0,1391.0,32.0,0.0,1
Hugo Duro,1281,1,1,3.6,2.8000000000000003,2.0,13.0,317.0,0.0,18.0,0.0,0.0,163.0,61.0,10.0,2,2.0,13.0,345.0,13.0,0.0,3
Hugo Mallo,2012,0,0,1.4000000000000001,1.4000000000000001,6.0,17.0,6943.0,11.0,89.0,1.0,0.0,555.0,569.0,161.0,24,33.0,17.0,1753.0,17.0,0.0,6
Iago Aspas,2816,12,3,11.2,8.9,8.0,55.0,3268.0,2.0,155.0,15.0,6.0,618.0,343.0,126.0,7,0.0,55.0,2350.0,55.0,0.0,12
Ibrahima Diallo,819,0,0,0.2,0.2,0.0,13.0,1064.0,0.0,28.0,0.0,0.0,206.0,139.0,34.0,6,14.0,13.0,710.0,13.0,0.0,0
Iddrisu Baba,1556,0,0,0.4,0.4,1.0,15.0,2075.0,0.0,45.0,1.0,0.0,196.0,222.0,83.0,10,15.0,15.0,474.0,15.0,0.0,0
Igor Zubeldia,2362,1,0,0.9,0.9,2.0,7.0,8750.0,1.0,111.0,1.0,0.0,434.0,748.0,197.0,20,26.0,7.0,3398.0,7.0,0.0,1
Iker Muniain,1538,0,0,2.5,2.5,12.0,58.0,4124.0,3.0,144.0,5.0,11.0,506.0,333.0,129.0,3,5.0,58.0,1752.0,58.0,0.0,0
Ilaix Moriba,1011,0,0,1.2,1.2,3.0,30.0,1890.0,2.0,67.0,4.0,0.0,259.0,169.0,39.0,4,14.0,30.0,883.0,30.0,0.0,0
Issa Diop,1922,1,0,0.2,0.2,0.0,4.0,7515.0,0.0,67.0,0.0,0.0,404.0,726.0,185.0,35,17.0,4.0,4028.0,4.0,0.0,3
Ivan Perisic,2108,1,0,2.7,2.7,11.0,40.0,3575.0,24.0,61.0,0.0,57.0,443.0,389.0,210.0,22,25.0,40.0,2075.0,40.0,0.0,6
Ivan Rakitic,1706,1,2,3.0,1.4000000000000001,6.0,10.0,4564.0,5.0,144.0,2.0,8.0,547.0,400.0,196.0,24,9.0,10.0,1948.0,10.0,0.0,3
Ivan Toney,2951,20,7,18.5,12.9,8.0,54.0,2037.0,5.0,79.0,12.0,0.0,424.0,180.0,53.0,14,4.0,54.0,724.0,54.0,3.0,27
Iñaki Williams,2578,10,2,9.0,7.4,9.0,92.0,1472.0,7.0,56.0,2.0,0.0,368.0,232.0,50.0,5,5.0,92.0,2402.0,92.0,0.0,22
Iñigo Eguaras,922,1,0,1.1,1.1,2.0,4.0,2742.0,2.0,61.0,5.0,0.0,243.0,189.0,72.0,6,4.0,4.0,704.0,4.0,0.0,0
Iñigo Lekue,1311,0,0,0.2,0.2,3.0,22.0,3681.0,7.0,64.0,0.0,0.0,349.0,326.0,85.0,13,20.0,22.0,1605.0,22.0,0.0,1
Iñigo Ruiz de Galarreta,2373,0,0,0.2,0.2,5.0,38.0,4696.0,0.0,124.0,4.0,3.0,516.0,455.0,169.0,27,26.0,38.0,1278.0,38.0,0.0,0
Jack Colback,497,0,0,0.0,0.0,0.0,4.0,446.0,1.0,16.0,0.0,0.0,71.0,55.0,11.0,3,12.0,4.0,210.0,4.0,0.0,0
Jack Grealish,2055,5,0,4.7,4.7,20.0,110.0,2584.0,2.0,100.0,6.0,12.0,588.0,337.0,66.0,7,10.0,110.0,3982.0,110.0,1.0,3
Jack Harrison,2560,4,0,4.2,4.2,9.0,113.0,3752.0,16.0,92.0,4.0,29.0,513.0,297.0,148.0,22,5.0,113.0,2327.0,113.0,0.0,3
Jack Stacey,299,0,0,0.1,0.1,0.0,8.0,392.0,1.0,2.0,0.0,0.0,53.0,50.0,12.0,5,3.0,8.0,221.0,8.0,0.0,1
Jack Stephens,1219,0,0,0.39999999999999997,0.39999999999999997,1.0,3.0,3240.0,2.0,37.0,2.0,0.0,183.0,280.0,95.0,17,12.0,3.0,949.0,3.0,0.0,0
Jacob Murphy,1215,4,0,3.2,3.2,6.0,41.0,1232.0,4.0,57.0,6.0,1.0,212.0,129.0,40.0,7,3.0,41.0,1447.0,41.0,0.0,2
Jacob Ramsey,2546,6,0,3.8,3.8,9.0,73.0,2601.0,2.0,96.0,3.0,0.0,486.0,257.0,46.0,23,23.0,73.0,2487.0,73.0,0.0,2
Jadon Sancho,1506,5,0,3.5,3.5,8.0,66.0,1587.0,1.0,69.0,4.0,2.0,466.0,144.0,23.0,7,6.0,66.0,2004.0,66.0,0.0,8
Jaidon Anthony,1249,3,0,1.9000000000000001,1.9000000000000001,4.0,46.0,1603.0,7.0,49.0,2.0,9.0,253.0,147.0,61.0,10,14.0,46.0,1023.0,46.0,0.0,5
Jaime Mata,195,0,0,0.7,0.7,1.0,1.0,180.0,1.0,5.0,0.0,0.0,31.0,24.0,7.0,2,2.0,1.0,54.0,1.0,0.0,3
Jaime Seoane,326,0,0,0.1,0.1,0.0,5.0,456.0,0.0,7.0,1.0,0.0,50.0,34.0,17.0,1,3.0,5.0,208.0,5.0,0.0,0
Jairo Riedewald,63,0,0,0.1,0.1,0.0,0.0,137.0,0.0,1.0,0.0,0.0,24.0,17.0,2.0,0,2.0,0.0,69.0,0.0,0.0,0
Jakub Kiwior,348,0,0,0.0,0.0,0.0,0.0,762.0,0.0,6.0,0.0,0.0,63.0,96.0,14.0,6,4.0,0.0,155.0,0.0,0.0,0
Jamaal Lascelles,218,0,0,0.1,0.1,0.0,0.0,580.0,0.0,3.0,0.0,0.0,34.0,44.0,11.0,0,1.0,0.0,103.0,0.0,0.0,0
Jamal Lewis,8,0,0,0.0,0.0,0.0,0.0,71.0,0.0,1.0,0.0,0.0,2.0,8.0,0.0,0,0.0,0.0,10.0,0.0,0.0,0
James Bree,201,0,0,0.0,0.0,0.0,2.0,472.0,4.0,3.0,0.0,0.0,67.0,31.0,15.0,4,2.0,2.0,85.0,2.0,0.0,0
James Garner,714,0,0,0.7000000000000001,0.7000000000000001,2.0,11.0,1185.0,2.0,33.0,0.0,14.0,141.0,106.0,41.0,10,3.0,11.0,509.0,11.0,0.0,1
James Justin,1252,0,0,0.2,0.2,2.0,19.0,3063.0,7.0,47.0,0.0,0.0,408.0,282.0,81.0,15,7.0,19.0,834.0,19.0,1.0,2
James Maddison,2345,10,2,8.3,6.2,13.0,101.0,4096.0,3.0,145.0,12.0,37.0,449.0,377.0,178.0,13,23.0,101.0,2489.0,101.0,1.0,6
James McArthur,31,0,0,0.0,0.0,0.0,2.0,72.0,0.0,0.0,1.0,0.0,20.0,13.0,2.0,1,1.0,2.0,49.0,2.0,0.0,0
James Milner,823,0,0,0.30000000000000004,0.30000000000000004,3.0,20.0,3055.0,5.0,63.0,2.0,2.0,254.0,253.0,107.0,12,11.0,20.0,757.0,20.0,0.0,0
James Tarkowski,3330,1,0,2.7,2.7,2.0,10.0,9985.0,0.0,104.0,3.0,0.0,503.0,777.0,295.0,48,34.0,10.0,2281.0,10.0,0.0,2
James Tomkins,338,1,0,0.9,0.9,0.0,1.0,822.0,0.0,2.0,0.0,0.0,55.0,87.0,27.0,5,2.0,1.0,220.0,1.0,0.0,1
James Ward-Prowse,3195,8,4,5.5,2.2,8.0,19.0,8419.0,16.0,188.0,2.0,60.0,886.0,782.0,335.0,51,29.0,19.0,1958.0,19.0,0.0,0
Jamie Vardy,1781,3,1,6.6000000000000005,5.8,7.0,27.0,347.0,1.0,13.0,3.0,0.0,110.0,85.0,15.0,2,4.0,27.0,344.0,27.0,2.0,29
Jan Bednarek,1592,0,0,0.30000000000000004,0.30000000000000004,0.0,2.0,5551.0,0.0,50.0,0.0,0.0,321.0,412.0,127.0,48,16.0,2.0,1674.0,2.0,0.0,0
Jan Paul van Hecke,177,0,0,0.6,0.6,0.0,0.0,1096.0,0.0,16.0,0.0,0.0,55.0,116.0,11.0,4,3.0,0.0,512.0,0.0,0.0,0
Japhet Tanganga,146,0,0,0.0,0.0,0.0,2.0,541.0,1.0,5.0,0.0,0.0,46.0,38.0,7.0,2,3.0,2.0,133.0,2.0,0.0,0
Jarrod Bowen,3121,5,2,8.2,7.1000000000000005,13.0,114.0,2397.0,8.0,69.0,6.0,78.0,367.0,212.0,155.0,35,14.0,114.0,2039.0,114.0,3.0,9
Jaume Costa,2378,0,0,1.0,1.0,3.0,23.0,4944.0,16.0,70.0,0.0,0.0,472.0,413.0,133.0,19,24.0,23.0,1829.0,23.0,0.0,6
Javi Puado,2090,6,0,7.6,7.6,5.0,48.0,1196.0,3.0,50.0,0.0,0.0,255.0,170.0,41.0,9,11.0,48.0,1324.0,48.0,0.0,4
Javier Manquillo,37,0,0,0.0,0.0,1.0,0.0,114.0,0.0,4.0,0.0,0.0,14.0,12.0,2.0,1,2.0,0.0,38.0,0.0,0.0,0
Jawad El Yamiq,1518,1,0,0.9,0.9,0.0,14.0,5018.0,0.0,42.0,1.0,0.0,263.0,351.0,165.0,37,10.0,14.0,1503.0,14.0,0.0,0
Jean-Philippe Mateta,746,2,0,3.5,3.5,1.0,7.0,143.0,0.0,6.0,0.0,0.0,90.0,28.0,4.0,3,2.0,7.0,226.0,7.0,0.0,7
Jefferson Lerma,3162,5,0,2.6,2.6,1.0,22.0,7059.0,2.0,137.0,7.0,0.0,755.0,564.0,142.0,47,23.0,22.0,1733.0,22.0,0.0,2
Jeffrey Schlupp,2531,3,0,3.0,3.0,5.0,56.0,2798.0,0.0,98.0,3.0,0.0,418.0,312.0,104.0,23,28.0,56.0,1232.0,56.0,0.0,0
Jeremy Sarmiento,176,0,0,0.30000000000000004,0.30000000000000004,2.0,11.0,191.0,1.0,11.0,0.0,0.0,38.0,19.0,2.0,1,4.0,11.0,129.0,11.0,0.0,0
Jesse Lingard,923,0,0,1.0,1.0,2.0,10.0,897.0,1.0,33.0,1.0,0.0,137.0,104.0,28.0,5,2.0,10.0,527.0,10.0,0.0,2
Joachim Andersen,2692,1,0,1.7000000000000002,1.7000000000000002,1.0,9.0,13179.0,1.0,92.0,3.0,0.0,367.0,946.0,518.0,24,30.0,9.0,3347.0,9.0,0.0,2
Joe Aribo,1155,2,0,1.5,1.5,1.0,39.0,898.0,0.0,39.0,0.0,0.0,235.0,81.0,12.0,8,14.0,39.0,610.0,39.0,0.0,0
Joe Gomez,1376,0,0,0.1,0.1,1.0,5.0,7062.0,0.0,103.0,2.0,0.0,352.0,697.0,187.0,22,15.0,5.0,2482.0,5.0,0.0,1
Joe Rothwell,1016,0,0,0.1,0.1,2.0,23.0,1662.0,1.0,33.0,4.0,12.0,196.0,165.0,68.0,9,7.0,23.0,790.0,23.0,0.0,0
Joe Willock,2558,3,0,6.7,6.7,9.0,93.0,3082.0,8.0,121.0,4.0,0.0,485.0,310.0,86.0,25,13.0,93.0,2866.0,93.0,0.0,3
Joe Worrall,2134,1,0,0.6,0.6,0.0,3.0,6778.0,0.0,65.0,0.0,0.0,307.0,537.0,239.0,25,39.0,3.0,1554.0,3.0,0.0,0
Joel Matip,1002,1,0,0.7,0.7,0.0,7.0,4255.0,0.0,55.0,0.0,0.0,315.0,394.0,84.0,17,12.0,7.0,2764.0,7.0,0.0,1
Joel Ward,2166,1,0,0.9,0.9,1.0,9.0,6315.0,6.0,92.0,0.0,0.0,499.0,446.0,149.0,24,29.0,9.0,1109.0,9.0,0.0,0
Joelinton,2661,6,0,7.3,7.3,10.0,111.0,4014.0,3.0,130.0,3.0,0.0,668.0,390.0,75.0,48,36.0,111.0,2286.0,111.0,1.0,1
Johan Mojica,884,0,0,0.1,0.1,0.0,22.0,1935.0,4.0,28.0,0.0,1.0,227.0,218.0,64.0,8,13.0,22.0,1178.0,22.0,0.0,0
John Donald,822,0,0,0.1,0.1,1.0,4.0,1214.0,0.0,18.0,0.0,0.0,146.0,129.0,21.0,11,6.0,4.0,413.0,4.0,0.0,0
John McGinn,2603,1,0,2.4,2.4,10.0,68.0,4775.0,5.0,136.0,10.0,18.0,422.0,364.0,163.0,22,27.0,68.0,1751.0,68.0,2.0,0
John Stones,1729,2,0,1.0,1.0,5.0,10.0,6235.0,0.0,99.0,1.0,0.0,690.0,620.0,119.0,9,11.0,10.0,2917.0,10.0,0.0,1
Jon Moncayola,2273,1,0,1.8,1.8,6.0,6.0,7393.0,8.0,166.0,2.0,8.0,466.0,567.0,283.0,15,22.0,6.0,1960.0,6.0,1.0,3
Jon Morcillo,76,0,0,0.1,0.1,1.0,5.0,156.0,1.0,2.0,0.0,0.0,20.0,13.0,7.0,1,1.0,5.0,198.0,5.0,0.0,0
Jon Pacheco,1013,0,0,0.0,0.0,0.0,3.0,3903.0,0.0,39.0,1.0,0.0,229.0,419.0,99.0,10,10.0,3.0,1716.0,3.0,0.0,1
Jonjo Shelvey,577,0,0,0.2,0.2,0.0,4.0,2037.0,2.0,37.0,3.0,0.0,92.0,122.0,106.0,5,1.0,4.0,461.0,4.0,0.0,0
Jonny Evans,899,0,0,0.2,0.2,0.0,0.0,4856.0,0.0,32.0,0.0,0.0,194.0,402.0,102.0,16,12.0,0.0,1068.0,0.0,0.0,1
Jordan Amavi,200,0,0,0.0,0.0,1.0,1.0,372.0,0.0,5.0,0.0,0.0,39.0,36.0,11.0,4,3.0,1.0,121.0,1.0,0.0,1
Jordan Ayew,2624,4,0,3.0,3.0,8.0,146.0,1621.0,6.0,60.0,5.0,0.0,478.0,241.0,40.0,15,22.0,146.0,2276.0,146.0,0.0,3
Jordan Henderson,2040,0,0,1.3,1.3,7.0,23.0,5695.0,12.0,181.0,8.0,0.0,721.0,581.0,188.0,20,10.0,23.0,2005.0,23.0,0.0,3
Jordan Zemura,1454,0,0,0.4,0.4,2.0,40.0,3247.0,5.0,45.0,0.0,0.0,284.0,187.0,55.0,16,24.0,40.0,1235.0,40.0,0.0,0
Jordi Alba,1339,2,0,0.6,0.6,6.0,8.0,5255.0,14.0,131.0,4.0,0.0,671.0,486.0,132.0,11,12.0,8.0,1945.0,8.0,0.0,10
Jorge Cuenca,461,0,0,0.30000000000000004,0.30000000000000004,0.0,0.0,2209.0,0.0,22.0,1.0,0.0,109.0,189.0,46.0,5,7.0,0.0,982.0,0.0,0.0,0
Jorginho,2044,2,2,1.9000000000000001,0.30000000000000004,5.0,20.0,6178.0,0.0,172.0,6.0,0.0,709.0,649.0,128.0,30,27.0,20.0,2250.0,20.0,0.0,0
Josan,820,1,0,0.4,0.4,1.0,25.0,1824.0,6.0,25.0,0.0,1.0,176.0,133.0,53.0,5,14.0,25.0,907.0,25.0,0.0,4
Joseba Zaldua,639,0,0,0.0,0.0,1.0,10.0,1133.0,2.0,13.0,0.0,0.0,119.0,100.0,42.0,11,10.0,10.0,450.0,10.0,0.0,2
Joselu,2810,15,4,13.1,9.9,8.0,40.0,1387.0,1.0,64.0,2.0,0.0,382.0,211.0,50.0,8,2.0,40.0,581.0,40.0,2.0,23
Joseph Aidoo,2939,3,0,0.8,0.8,0.0,12.0,9143.0,0.0,89.0,0.0,0.0,417.0,1001.0,227.0,29,33.0,12.0,3129.0,12.0,0.0,0
Josh Dasilva,1368,4,0,1.5,1.5,7.0,55.0,1884.0,5.0,62.0,1.0,4.0,282.0,217.0,67.0,5,6.0,55.0,1573.0,55.0,0.0,0
